Profile: Function timing, sorted by time
Date:    Thu Jul 18 21:01:21 2002


Program Statistics
------------------
    Command line at 2002 Jul 18 21:00: "D:\Work\EmperorOfDragons\Game\XLauncher" 
    Total time: 63121.302 millisecond
    Time outside of functions: 5.782 millisecond
    Call depth: 38
    Total functions: 1172
    Total hits: 732624
    Function coverage: 41.3%
    Overhead Calculated 8
    Overhead Average 8

Module Statistics for xlauncher.exe
-----------------------------------
    Time in module: 63115.521 millisecond
    Percent of time in module: 100.0%
    Functions in module: 1172
    Hits in module: 732624
    Module function coverage: 41.3%

        Func          Func+Child           Hit
        Time   %         Time      %      Count  Function
---------------------------------------------------------
       0.188   0.0        0.189   0.0        1 CFile::Open(char const *,unsigned int,class CFileException *) (mfc42d.dll)
       0.187   0.0        0.187   0.0      117 CPen::CPen(int,int,unsigned long) (mfc42d.dll)
       0.181   0.0        0.181   0.0       18 DDX_Check(class CDataExchange *,int,int &) (mfc42d.dll)
       0.179   0.0        0.179   0.0      124 CString::~CString(void) (mfc42d.dll)
       0.177   0.0        0.177   0.0     1050 CWinThread::GetMainWnd(void) (mfc42d.dll)
       0.176   0.0    24929.131  39.5        1 CPackage::Patch(char const *,char const *) (package.obj)
       0.165   0.0        0.165   0.0       78 CWnd::GetCapture(void) (mfc42d.dll)
       0.164   0.0        0.164   0.0        1 CWnd::GetDlgItem(int) (mfc42d.dll)
       0.159   0.0        0.258   0.0       15 DDX_Control(class CDataExchange *,int,class CWnd &) (mfc42d.dll)
       0.146   0.0        0.146   0.0      124 CPen::~CPen(void) (mfc42d.dll)
       0.141   0.0        0.141   0.0        5 CToolTipCtrl::Activate(int) (mfc42d.dll)
       0.137   0.0        0.309   0.0        1 CMacButton::DrawUnpressedPushButton(class CDC *,class CRect const &) (macbuttons.obj)
       0.133   0.0        0.133   0.0       47 CRect::Width(void) (mfc42d.dll)
       0.133   0.0        0.133   0.0      659 CWnd::IsFrameWnd(void) (mfc42d.dll)
       0.132   0.0        0.132   0.0     1229 CAutoBuffer::operator char *(void) (autobuffer.obj)
       0.127   0.0        0.127   0.0       26 CWnd::Invalidate(int) (mfc42d.dll)
       0.123   0.0        0.146   0.0        1 CBitmapDialog::~CBitmapDialog(void) (xlauncher.obj)
       0.123   0.0        0.123   0.0       36 CBrush::~CBrush(void) (mfc42d.dll)
       0.119   0.0        1.229   0.0        2 CZipArchive::CloseFile(char const *) (ziparchive.obj)
       0.117   0.0        5.401   0.0       35 CButtonST::DrawItem(struct tagDRAWITEMSTRUCT *) (btnst.obj)
       0.116   0.0        0.116   0.0      572 CPackage::GetResourceCount(void) (package.obj)
       0.115   0.0        0.115   0.0      449 CZipArchive::CheckForError(int) (ziparchive.obj)
       0.114   0.0        0.114   0.0        5 CDC::CreateCompatibleDC(class CDC *) (mfc42d.dll)
       0.114   0.0        6.196   0.0      103 CButton::OnChildNotify(unsigned int,unsigned int,long,long *) (mfc42d.dll)
       0.114   0.0        0.114   0.0       36 CDC::FromHandle(struct HDC__ *) (mfc42d.dll)
       0.108   0.0        0.108   0.0       18 CPackage::GetPackedFile(int) (package.obj)
       0.105   0.0        0.105   0.0     2054 CWnd::ContinueModal(void) (mfc42d.dll)
